Year,Country,TopicTag,YesVotes_Topic,NoVotes_Topic,AbstainVotes_Topic,TotalVotes_Topic
1946,AFG,DISCRIMINATION,1,0,0,1
1946,AFG,HUMAN RIGHTS,1,0,2,3
1946,AFG,INTERNATIONAL LAW,0,0,1,1
1946,AFG,INTERNATIONAL RELATIONS,2,1,2,5
1946,AFG,POLITICAL AND LEGAL QUESTIONS,4,1,3,8
1946,AFG,POLITICAL EVENTS AND ISSUES,0,1,0,1
1946,AFG,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,0,0,3,3
1946,AFG,SOCIAL DEVELOPMENT,1,0,2,3
1946,ARG,DISCRIMINATION,1,1,0,2
1946,ARG,GENERAL AND NATIONAL LAW,2,0,0,2
1946,ARG,HUMAN RIGHTS,1,1,2,4
1946,ARG,INTERNATIONAL LAW,0,0,1,1
1946,ARG,INTERNATIONAL RELATIONS,5,1,1,7
1946,ARG,POLITICAL AND LEGAL QUESTIONS,17,2,1,20
1946,ARG,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,ARG,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,1,0,3,4
1946,ARG,SOCIAL DEVELOPMENT,1,0,2,3
1946,AUS,DISCRIMINATION,1,0,1,2
1946,AUS,GENERAL AND NATIONAL LAW,1,1,0,2
1946,AUS,HUMAN RIGHTS,1,0,3,4
1946,AUS,INTERNATIONAL LAW,0,0,1,1
1946,AUS,INTERNATIONAL RELATIONS,4,1,2,7
1946,AUS,POLITICAL AND LEGAL QUESTIONS,14,2,4,20
1946,AUS,POLITICAL EVENTS AND ISSUES,0,0,1,1
1946,AUS,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,1,0,3,4
1946,AUS,SOCIAL DEVELOPMENT,0,1,2,3
1946,BEL,DISCRIMINATION,1,1,0,2
1946,BEL,GENERAL AND NATIONAL LAW,2,0,0,2
1946,BEL,HUMAN RIGHTS,3,1,0,4
1946,BEL,INTERNATIONAL LAW,1,0,0,1
1946,BEL,INTERNATIONAL RELATIONS,5,0,2,7
1946,BEL,POLITICAL AND LEGAL QUESTIONS,17,1,2,20
1946,BEL,POLITICAL EVENTS AND ISSUES,0,0,1,1
1946,BEL,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,BEL,SOCIAL DEVELOPMENT,3,0,0,3
1946,BLR,DISCRIMINATION,2,0,0,2
1946,BLR,GENERAL AND NATIONAL LAW,1,1,0,2
1946,BLR,HUMAN RIGHTS,2,2,0,4
1946,BLR,INTERNATIONAL LAW,0,1,0,1
1946,BLR,INTERNATIONAL RELATIONS,3,4,0,7
1946,BLR,POLITICAL AND LEGAL QUESTIONS,7,12,1,20
1946,BLR,POLITICAL EVENTS AND ISSUES,0,1,0,1
1946,BLR,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,1,3,0,4
1946,BLR,SOCIAL DEVELOPMENT,1,2,0,3
1946,BOL,DISCRIMINATION,1,0,1,2
1946,BOL,GENERAL AND NATIONAL LAW,2,0,0,2
1946,BOL,HUMAN RIGHTS,1,0,3,4
1946,BOL,INTERNATIONAL LAW,0,0,1,1
1946,BOL,INTERNATIONAL RELATIONS,6,0,1,7
1946,BOL,POLITICAL AND LEGAL QUESTIONS,18,0,2,20
1946,BOL,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,BOL,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,1,0,3,4
1946,BOL,SOCIAL DEVELOPMENT,1,0,2,3
1946,BRA,DISCRIMINATION,1,0,1,2
1946,BRA,GENERAL AND NATIONAL LAW,2,0,0,2
1946,BRA,HUMAN RIGHTS,1,0,3,4
1946,BRA,INTERNATIONAL LAW,0,0,1,1
1946,BRA,INTERNATIONAL RELATIONS,6,0,1,7
1946,BRA,POLITICAL AND LEGAL QUESTIONS,17,0,3,20
1946,BRA,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,BRA,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,1,0,3,4
1946,BRA,SOCIAL DEVELOPMENT,0,1,2,3
1946,CAN,DISCRIMINATION,1,1,0,2
1946,CAN,GENERAL AND NATIONAL LAW,1,1,0,2
1946,CAN,HUMAN RIGHTS,3,1,0,4
1946,CAN,INTERNATIONAL LAW,1,0,0,1
